file,site,sample_rate
recover-20250127/UBNA_026/20250114_165000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_170000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_171000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_172000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_173000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_174000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_175000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_180000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_181000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_182000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_183000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_184000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_185000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_190000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_191000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_192000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_193000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_194000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_195000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_200000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_201000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_202000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_203000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_204000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_205000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_210000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_211000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_212000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_213000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_214000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_215000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_220000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_221000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_222000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_223000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_224000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_225000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_230000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_231000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_232000.WAV,Carp Pond,192000
